signId,signServerId,signServerName,signOperatorCode,signOperatorDesc,managementLevelCode,managementLevelDesc,adminStatusCode,adminStatusDesc,operationStatusCode,operationStatusDesc,operationStatusMessage,signStateCode,signStateDesc
1,10,ISR,16,סופרבוס,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000066,10,ISR,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000070,10,ISR,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000073,10,ISR,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000078,10,ISR,200,תכנית אב ירושלים,STOCK,ניהול מאגר,DISABLED,מושבת,DISABLED,מושבת,,4,אחסון
100000084,20,ארדן ירושלים,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000105,20,ארדן ירושלים,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000108,20,ארדן ירושלים,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000109,20,ארדן ירושלים,200,תכנית אב ירושלים,STATUS,ניהול סטטוס,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000111,20,ארדן ירושלים,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000112,20,ארדן ירושלים,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000113,10,ISR,200,תכנית אב ירושלים,STOCK,ניהול מאגר,DISABLED,מושבת,DISABLED,מושבת,,5,עבר ונדליזם
100000115,20,ארדן ירושלים,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
100000116,20,ארדן ירושלים,200,תכנית אב ירושלים,FULL,ניהול מלא,ACTIVE,פעיל,ACTIVE,תקין,,1,מוצב בתחנה
